Entity,Code,Day,total_vaccinations_per_hundred
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,0.02
Afghanistan,AFG,2021-03-16,0.14
Afghanistan,AFG,2021-04-07,0.31
Afghanistan,AFG,2021-04-22,0.62
Africa,,2021-01-09,0
Africa,,2021-01-13,0
Africa,,2021-01-15,0
Africa,,2021-01-16,0
Africa,,2021-01-19,0
Africa,,2021-01-20,0
Africa,,2021-01-22,0
Africa,,2021-01-23,0
Africa,,2021-01-24,0
Africa,,2021-01-25,0
Africa,,2021-01-26,0
Africa,,2021-01-27,0
Africa,,2021-01-28,0
Africa,,2021-01-29,0
Africa,,2021-01-30,0.01
Africa,,2021-01-31,0.01
Africa,,2021-02-01,0.02
Africa,,2021-02-02,0.02
Africa,,2021-02-03,0.03
Africa,,2021-02-04,0.03
Africa,,2021-02-05,0.03
Africa,,2021-02-06,0.04
Africa,,2021-02-08,0.04
Africa,,2021-02-09,0.05
Africa,,2021-02-10,0.06
Africa,,2021-02-11,0.07
Africa,,2021-02-12,0.09
Africa,,2021-02-13,0.11
Africa,,2021-02-15,0.13
Africa,,2021-02-16,0.15
Africa,,2021-02-17,0.16
Africa,,2021-02-18,0.17
Africa,,2021-02-19,0.19
Africa,,2021-02-20,0.2
Africa,,2021-02-21,0.2
Africa,,2021-02-22,0.2
Africa,,2021-02-23,0.21
Africa,,2021-02-24,0.24
Africa,,2021-02-25,0.26
Africa,,2021-02-26,0.27
Africa,,2021-02-27,0.29
Africa,,2021-02-28,0.29
Africa,,2021-03-01,0.31
Africa,,2021-03-02,0.32
Africa,,2021-03-03,0.33
Africa,,2021-03-04,0.34
Africa,,2021-03-05,0.36
Africa,,2021-03-06,0.37
Africa,,2021-03-07,0.38
Africa,,2021-03-08,0.4
Africa,,2021-03-09,0.41
Africa,,2021-03-10,0.44
Africa,,2021-03-11,0.45
Africa,,2021-03-12,0.48
Africa,,2021-03-13,0.51
Africa,,2021-03-14,0.51
Africa,,2021-03-15,0.54
Africa,,2021-03-16,0.55
Africa,,2021-03-17,0.57
Africa,,2021-03-18,0.58
Africa,,2021-03-19,0.6
Africa,,2021-03-20,0.61
Africa,,2021-03-21,0.61
Africa,,2021-03-22,0.62
Africa,,2021-03-23,0.63
Africa,,2021-03-24,0.7
Africa,,2021-03-25,0.72
Africa,,2021-03-26,0.74
Africa,,2021-03-27,0.77
Africa,,2021-03-28,0.79
Africa,,2021-03-29,0.8
Africa,,2021-03-30,0.82
Africa,,2021-03-31,0.86
Africa,,2021-04-01,0.87
Africa,,2021-04-02,0.89
Africa,,2021-04-03,0.9
Africa,,2021-04-04,0.9
Africa,,2021-04-05,0.91
Africa,,2021-04-06,0.94
Africa,,2021-04-07,0.97
Africa,,2021-04-08,1.02
Africa,,2021-04-09,1.03
Africa,,2021-04-10,1.05
Africa,,2021-04-11,1.06
Africa,,2021-04-12,1.06
Africa,,2021-04-13,1.07
Africa,,2021-04-14,1.1
Africa,,2021-04-15,1.11
Africa,,2021-04-16,1.13
Africa,,2021-04-17,1.15
Africa,,2021-04-18,1.19
Africa,,2021-04-19,1.21
Africa,,2021-04-20,1.22
Africa,,2021-04-21,1.23
Africa,,2021-04-22,1.24
Africa,,2021-04-23,1.26
Africa,,2021-04-24,1.26
Africa,,2021-04-25,1.27
Africa,,2021-04-26,1.27
Africa,,2021-04-27,1.29
Africa,,2021-04-28,1.36
Africa,,2021-04-29,1.37
Africa,,2021-04-30,1.38
Africa,,2021-05-01,1.39
Africa,,2021-05-02,1.4
Africa,,2021-05-03,1.41
Africa,,2021-05-04,1.43
Africa,,2021-05-05,1.45
Africa,,2021-05-06,1.46
Africa,,2021-05-07,1.5
Africa,,2021-05-08,1.52
Africa,,2021-05-09,1.57
Africa,,2021-05-10,1.6
Africa,,2021-05-11,1.61
Albania,ALB,2021-01-10,0
Albania,ALB,2021-01-12,0
Albania,ALB,2021-01-13,0.01
Albania,ALB,2021-01-14,0.01
Albania,ALB,2021-01-15,0.01
Albania,ALB,2021-01-16,0.01
Albania,ALB,2021-01-17,0.01
Albania,ALB,2021-01-18,0.02
Albania,ALB,2021-01-19,0.02
Albania,ALB,2021-01-20,0.02
Albania,ALB,2021-01-21,0.02
Albania,ALB,2021-02-02,0.02
Albania,ALB,2021-02-09,0.04
Albania,ALB,2021-02-17,0.06
Albania,ALB,2021-02-18,0.11
Albania,ALB,2021-02-19,0.15
Albania,ALB,2021-02-22,0.23
Albania,ALB,2021-02-25,0.35
Albania,ALB,2021-03-01,0.5
Albania,ALB,2021-03-03,0.55
Albania,ALB,2021-03-10,0.75
Albania,ALB,2021-03-12,0.82
Albania,ALB,2021-03-17,1.16
Albania,ALB,2021-03-22,1.68
Albania,ALB,2021-03-23,1.8
Albania,ALB,2021-03-24,1.88
Albania,ALB,2021-03-25,2.06
Albania,ALB,2021-03-26,2.16
Albania,ALB,2021-03-27,2.23
Albania,ALB,2021-03-28,2.71
Albania,ALB,2021-03-30,4.15
Albania,ALB,2021-03-31,4.82
Albania,ALB,2021-04-01,5.4
Albania,ALB,2021-04-02,5.99
Albania,ALB,2021-04-03,6.45
Albania,ALB,2021-04-04,6.7
Albania,ALB,2021-04-05,7.18
Albania,ALB,2021-04-06,7.7
Albania,ALB,2021-04-07,8.07
Albania,ALB,2021-04-08,8.43
Albania,ALB,2021-04-09,8.71
Albania,ALB,2021-04-10,8.92
Albania,ALB,2021-04-12,9.3
Albania,ALB,2021-04-13,9.77
Albania,ALB,2021-04-15,10.58
Albania,ALB,2021-04-16,10.93
Albania,ALB,2021-04-17,11.29
Albania,ALB,2021-04-18,11.57
Albania,ALB,2021-04-19,12.02
Albania,ALB,2021-04-20,12.16
Albania,ALB,2021-04-21,12.93
Albania,ALB,2021-04-22,13.31
Albania,ALB,2021-04-23,13.6
Albania,ALB,2021-04-24,13.9
Albania,ALB,2021-04-26,14.2
