Entity,Code,Day,people_vaccinated
Afghanistan,AFG,22-02-2021,0
Afghanistan,AFG,28-02-2021,8200
Afghanistan,AFG,16-03-2021,54000
Afghanistan,AFG,07-04-2021,120000
Afghanistan,AFG,22-04-2021,240000
Africa,,09-01-2021,0
Africa,,13-01-2021,2000
Africa,,15-01-2021,4000
Africa,,16-01-2021,7000
Africa,,19-01-2021,10976
Africa,,20-01-2021,13163
Africa,,22-01-2021,16890
Africa,,23-01-2021,18353
Africa,,24-01-2021,18353
Africa,,25-01-2021,19889
Africa,,26-01-2021,22712
Africa,,27-01-2021,25587
Africa,,28-01-2021,28779
Africa,,29-01-2021,30861
Africa,,30-01-2021,32176
Africa,,31-01-2021,32176
Africa,,01-02-2021,36601
Africa,,02-02-2021,37806
Africa,,03-02-2021,38716
Africa,,04-02-2021,38716
Africa,,05-02-2021,38716
Africa,,06-02-2021,39218
Africa,,08-02-2021,39343
Africa,,09-02-2021,39352
Africa,,10-02-2021,39355
Africa,,11-02-2021,39581
Africa,,12-02-2021,39581
Africa,,13-02-2021,43428
Africa,,15-02-2021,43437
Africa,,16-02-2021,43444
Africa,,17-02-2021,47104
Africa,,18-02-2021,50146
Africa,,19-02-2021,2412533
Africa,,20-02-2021,2506856
Africa,,21-02-2021,2512346
Africa,,22-02-2021,2625632
Africa,,23-02-2021,2724750
Africa,,24-02-2021,3017856
Africa,,25-02-2021,3292724
Africa,,26-02-2021,3482568
Africa,,27-02-2021,3605812
Africa,,28-02-2021,3613539
Africa,,01-03-2021,3759638
Africa,,02-03-2021,3859686
Africa,,03-03-2021,3963877
Africa,,04-03-2021,4057507
Africa,,05-03-2021,4208668
Africa,,06-03-2021,4334635
Africa,,07-03-2021,4375336
Africa,,08-03-2021,4649256
Africa,,09-03-2021,4723917
Africa,,10-03-2021,4926631
Africa,,11-03-2021,4997092
Africa,,12-03-2021,5054231
Africa,,13-03-2021,5211100
Africa,,14-03-2021,5227623
Africa,,15-03-2021,5324518
Africa,,16-03-2021,5365673
Africa,,17-03-2021,5412287
Africa,,18-03-2021,5599476
Africa,,19-03-2021,5671305
Africa,,20-03-2021,5692632
